timestamp,user,ip,country,success,os
2024-06-01 01:36:00,user_012,192.168.1.77,China,True,macOS 14
2024-06-01 02:08:00,user_022,192.168.1.210,Unknown,False,Windows 10
2024-06-01 02:46:00,user_017,192.168.1.243,Kenya,False,macOS 14
2024-06-01 03:27:00,user_028,192.168.1.108,China,True,macOS 14
2024-06-01 04:11:00,user_024,192.168.1.37,South Africa,True,Windows 11
2024-06-01 05:00:00,user_005,192.168.1.50,Russia,False,Kali Linux
2024-06-01 05:00:10,user_005,192.168.1.50,Russia,False,Kali Linux
2024-06-01 05:00:20,user_005,192.168.1.50,Russia,False,Kali Linux
2024-06-01 05:00:30,user_005,192.168.1.50,Russia,False,Kali Linux
2024-06-01 05:00:40,user_005,192.168.1.50,Russia,False,Kali Linux
2024-06-01 05:00:50,user_005,192.168.1.50,Russia,False,Kali Linux
2024-06-01 05:01:00,user_005,192.168.1.50,Russia,False,Kali Linux
2024-06-01 05:01:10,user_005,192.168.1.50,Russia,False,Kali Linux
2024-06-01 05:01:20,user_005,192.168.1.50,Russia,False,Kali Linux
2024-06-01 05:01:30,user_005,192.168.1.50,Russia,False,Kali Linux
2024-06-01 05:01:40,user_005,192.168.1.50,Russia,False,Kali Linux
2024-06-01 05:01:50,user_005,192.168.1.50,Russia,False,Kali Linux
2024-06-01 05:02:10,user_005,192.168.1.50,Russia,True,Kali Linux
2024-06-01 05:20:00,user_028,192.168.1.226,China,True,macOS 14
2024-06-01 05:44:00,user_019,192.168.1.142,Kenya,True,Windows 10
2024-06-01 06:27:00,user_022,192.168.1.50,South Africa,True,Windows 10
2024-06-01 06:40:00,user_002,192.168.1.63,South Africa,True,Windows 10
2024-06-01 06:46:00,user_006,192.168.1.189,Nigeria,True,macOS 14
2024-06-01 07:14:00,user_018,192.168.1.51,Russia,True,Kali Linux
2024-06-01 08:28:00,user_008,192.168.1.52,China,False,Windows 11
2024-06-01 08:40:00,user_001,192.168.1.24,Kenya,False,Kali Linux
2024-06-01 10:26:00,user_004,192.168.1.153,South Africa,True,Ubuntu 22.04
2024-06-01 10:34:00,user_028,192.168.1.121,Kenya,False,macOS 14
2024-06-01 13:41:00,user_019,192.168.1.123,Unknown,True,Kali Linux
2024-06-01 16:00:00,user_006,192.168.1.98,Uganda,True,Ubuntu 22.04
2024-06-01 16:33:00,user_013,192.168.1.187,Nigeria,True,Windows 10
2024-06-01 18:42:00,user_020,192.168.1.18,Russia,True,macOS 14
2024-06-01 18:47:00,user_029,192.168.1.63,Nigeria,False,macOS 14
2024-06-01 19:03:00,user_009,192.168.1.198,China,True,Ubuntu 22.04
2024-06-01 19:23:00,user_023,192.168.1.162,Uganda,False,Windows 10
2024-06-01 19:48:00,user_001,192.168.1.118,Unknown,True,Windows 10
2024-06-01 20:00:00,user_018,192.168.1.55,Unknown,False,Ubuntu 22.04
2024-06-01 20:32:00,user_029,192.168.1.177,Kenya,True,Ubuntu 22.04
2024-06-01 22:00:00,user_005,192.168.1.39,Kenya,True,Windows 11
2024-06-01 22:23:00,user_014,192.168.1.169,Unknown,True,Ubuntu 22.04
2024-06-02 01:12:00,user_021,192.168.1.109,China,False,Windows 10
2024-06-02 03:24:00,user_028,192.168.1.217,South Africa,False,macOS 14
2024-06-02 03:59:00,user_022,192.168.1.190,Unknown,False,macOS 14
2024-06-02 05:06:00,user_025,192.168.1.109,Kenya,False,Kali Linux
2024-06-02 05:56:00,user_005,192.168.1.161,Kenya,True,macOS 14
2024-06-02 06:24:00,user_001,192.168.1.190,Nigeria,False,Windows 11
2024-06-02 06:27:00,user_010,192.168.1.112,Kenya,True,Ubuntu 22.04
2024-06-02 07:16:00,user_022,192.168.1.227,Unknown,True,Ubuntu 22.04
2024-06-02 07:39:00,user_025,192.168.1.104,China,True,Windows 10
2024-06-02 08:44:00,user_029,192.168.1.146,Kenya,True,Windows 10
2024-06-02 09:03:00,user_026,192.168.1.252,Unknown,True,Ubuntu 22.04
2024-06-02 09:09:00,user_001,192.168.1.250,Russia,True,Windows 11
2024-06-02 09:57:00,user_015,192.168.1.177,Nigeria,True,Ubuntu 22.04
2024-06-02 10:05:00,user_030,192.168.1.97,Uganda,True,Kali Linux
2024-06-02 10:33:00,user_009,192.168.1.12,Uganda,True,Windows 11
2024-06-02 11:03:00,user_022,192.168.1.122,Unknown,False,Kali Linux
2024-06-02 12:40:00,user_009,192.168.1.30,Uganda,True,Windows 11
2024-06-02 13:03:00,user_028,192.168.1.119,Kenya,False,macOS 14
2024-06-02 15:00:00,user_009,192.168.1.36,Kenya,True,Kali Linux
2024-06-02 15:29:00,user_013,192.168.1.49,Unknown,True,Windows 11
2024-06-02 18:02:00,user_016,192.168.1.239,Russia,False,Ubuntu 22.04
2024-06-02 18:59:00,user_002,192.168.1.246,Unknown,False,Windows 11
2024-06-02 19:14:00,user_010,192.168.1.142,Uganda,True,Windows 10
2024-06-02 19:35:00,user_023,192.168.1.109,Nigeria,False,Windows 11
2024-06-02 21:24:00,user_014,192.168.1.125,South Africa,False,macOS 14
2024-06-02 23:31:00,user_020,192.168.1.146,Nigeria,True,Windows 10
2024-06-03 01:39:00,user_016,192.168.1.55,Nigeria,True,Ubuntu 22.04
2024-06-03 02:06:00,user_009,192.168.1.119,Kenya,True,Windows 10
2024-06-03 03:54:00,user_009,192.168.1.12,Russia,True,Kali Linux
2024-06-03 03:59:00,user_004,192.168.1.25,Russia,True,macOS 14
2024-06-03 04:18:00,user_007,192.168.1.190,South Africa,False,Kali Linux
2024-06-03 06:01:00,user_014,192.168.1.30,Unknown,False,Windows 11
2024-06-03 08:44:00,user_021,192.168.1.55,Nigeria,True,Windows 11
2024-06-03 10:25:00,user_003,192.168.1.107,South Africa,True,macOS 14
2024-06-03 10:30:00,user_018,192.168.1.34,Russia,True,Kali Linux
2024-06-03 13:13:00,user_021,192.168.1.18,China,True,Windows 10
2024-06-03 13:21:00,user_027,192.168.1.234,Uganda,True,Windows 10
2024-06-03 14:07:00,user_012,192.168.1.46,Nigeria,False,Kali Linux
2024-06-03 14:30:00,user_022,192.168.1.215,China,True,Windows 10
2024-06-03 15:44:00,user_030,192.168.1.68,China,True,Kali Linux
2024-06-03 16:08:00,user_022,192.168.1.80,Kenya,True,Windows 11
2024-06-03 16:38:00,user_028,192.168.1.42,China,True,macOS 14
2024-06-03 17:08:00,user_005,192.168.1.122,Russia,False,Windows 11
2024-06-03 17:23:00,user_002,192.168.1.62,Unknown,True,Windows 10
2024-06-03 17:29:00,user_006,192.168.1.142,Uganda,False,macOS 14
2024-06-03 18:18:00,user_004,192.168.1.179,China,True,Kali Linux
2024-06-03 18:26:00,user_010,192.168.1.170,Unknown,True,Kali Linux
2024-06-03 19:45:00,user_009,192.168.1.41,China,True,macOS 14
2024-06-03 19:53:00,user_007,192.168.1.49,Unknown,True,macOS 14
2024-06-03 23:12:00,user_007,192.168.1.172,Russia,True,Ubuntu 22.04
2024-06-03 23:44:00,user_024,192.168.1.150,South Africa,True,macOS 14
2024-06-04 00:05:00,user_017,192.168.1.126,Nigeria,True,Windows 10
2024-06-04 00:32:00,user_027,192.168.1.37,Uganda,False,Ubuntu 22.04
2024-06-04 01:17:00,user_011,192.168.1.219,Kenya,True,Windows 10
